,college,State,City,Is Open Admission,Has Data,Average GPA,GPA Standard Deviation,Acceptance Rate,SAT Reading 25th,SAT Math 25th,SAT Composite 25th,SAT Reading 75th,SAT Math 75th,SAT Composite 75th,Average SAT Score,1st Rank SAT,2nd Rank SAT,3rd Rank SAT,4th Rank SAT,5th Rank SAT,ACT Reading SAT25th,ACT Math 25th,ACT Composite 25th,ACT Reading 75th,ACT Math 75th,ACT Composite 75th,Average ACT Score,1st Rank ACT,2nd Rank ACT,3rd Rank ACT,4th Rank ACT,5th Rank ACT,Average Class Rank,Class Rank Standard Deviation,1st Rank SAT Level,2nd Rank SAT Level,3rd Rank SAT Level,4th Rank SAT Level,1st Rank ACT Level,2nd Rank ACT Level,3rd Rank ACT Level,4th Rank ACT Level,Test Scores,High School GPA,High School Class Rank,Completion of College Preparatory Program,Recommendations,Demonstration of Competencies,AP Credit,Dual Credit,Credit for Life Experiences
0,Abilene Christian University,Texas,Abilene,False,True,3.599,0.501,61.5,515,500,1015,630,600,1230,1120,73,61,48,35,35,19,18,21,28,26,28,24,74,61,50,39,39,73.74,0.586,1230,1122,1015,908,28,24,21,18,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Recommended,Yes,Yes,Yes
1,Abraham Baldwin Agricultural College,Georgia,Tifton,False,True,N/A,0.63,73.4,470,460,930,580,540,1120,1030,82,73,61,48,48,15,16,17,22,21,22,19,84,73,64,54,54,63.13017114942832,13.656392430682736,1120,1025,930,835,22,19,17,15,Required,Required,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
2,Academy College,Minnesota,Minneapolis,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.13017114942832,13.656392430682736,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,Adelphi University,New York,Garden City,False,True,3.481,0.41100000000000003,74.3,530,530,1060,630,620,1250,1160,83,74,63,50,50,22,19,21,29,26,27,24,83,74,63,50,50,72.339,0.452,1250,1155,1060,965,27,24,21,18,Required,Required,Recommended,Recommended,Required,Recommended,Yes,Yes,Yes
4,Adrian College,Michigan,Adrian,False,True,3.286,0.608,55.9,480,480,960,580,520,1100,1030,68,56,43,31,31,16,17,19,24,25,24,21,71,56,45,35,35,66.52848816166025,12.007823283581198,1100,1030,960,890,24,21,19,17,Required,Required,Considered but not required,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
5,Aiken Technical College,South Carolina,Graniteville,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.52848816166025,12.007823283581198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,Aims Community College,Colorado,Greeley,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.52848816166025,12.007823283581198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,Alabama State University,Alabama,Montgomery,False,True,2.987,0.5680000000000001,96.9,450,430,880,510,510,1020,950,98,97,95,92,92,14,15,15,20,17,19,17,98,97,95,92,92,48.672,0.59,1020,950,880,810,19,17,15,13,Required,Required,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
8,Alamance Community College,North Carolina,Graham,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48.672,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,Alaska Bible College,Alaska,Glennallen,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48.672,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
